UF;Município;IFDM;Emprego & Renda;Educação;Saúde
AL;Colônia Leopoldina;0,583037;0,482877;0,577693;0,688542
PB;Paulista;0,582941;0,241696;0,803725;0,703403
MS;Coronel Sapucaia;0,582866;0,490258;0,676514;0,581827
PI;Bela Vista do Piauí;0,58242;0,392926;0,690091;0,664242
PE;Lagoa dos Gatos;0,582398;0,348305;0,614132;0,784756
MG;Monte Formoso;0,582357;0,246553;0,72178;0,778738
PI;Caxingó;0,582101;0,427345;0,661795;0,657162
MT;Guiratinga;0,581931;0,358255;0,748959;0,63858
TO;Novo Alegre;0,581704;0,293003;0,765721;0,686388
TO;Arapoema;0,581681;0,344405;0,751798;0,648842
MA;Poção de Pedras;0,581677;0,450757;0,648306;0,645968
RJ;Japeri;0,581587;0,446007;0,609343;0,689409
MG;Simonésia;0,581491;0,29204;0,709245;0,743189
MG;Divinolândia de Minas;0,581487;0,261955;0,796978;0,685527
BA;Tanhaçu;0,581467;0,354445;0,699065;0,690889
MA;Coroatá;0,581275;0,301308;0,68604;0,756479
AM;Iranduba;0,581217;0,453784;0,667844;0,622023
SE;General Maynard;0,581149;0,270908;0,637802;0,834737
BA;Itabela;0,580951;0,459372;0,579989;0,703492
PI;Miguel Leão;0,580805;0,451677;0,577936;0,712801
PI;Lagoa Alegre;0,580714;0,425522;0,643073;0,673546
PB;Monte Horebe;0,580689;0,417025;0,629985;0,695058
MG;Fruta de Leite;0,580651;0,417377;0,6898;0,634777
PE;Correntes;0,580495;0,276231;0,608866;0,856386
PB;Gurinhém;0,580485;0,399482;0,618625;0,723349
PI;Arraial;0,580456;0,384895;0,708371;0,648101
PB;Juazeirinho;0,58041;0,404731;0,572565;0,763933
PI;Santa Rosa do Piauí;0,5804;0,360241;0,775579;0,605379
MA;Timbiras;0,580299;0,424426;0,645088;0,671383
PB;Cubati;0,580236;0,444306;0,654117;0,642286
AP;Serra do Navio;0,580218;0,272119;0,630276;0,838259
MG;Dom Cavati;0,580189;0,338788;0,78836;0,613418
MG;Palmópolis;0,580174;0,344716;0,709724;0,686081
PB;Salgadinho;0,580133;0,426707;0,630945;0,682746
PI;Santa Cruz do Piauí;0,580124;0,408327;0,735815;0,59623
BA;Lagoa Real;0,580069;0,421499;0,612968;0,70574
SC;Calmon;0,580029;0,387414;0,769923;0,58275
PI;Caracol;0,580011;0,421471;0,5655;0,753064
BA;Itamaraju;0,57993;0,386492;0,642265;0,711032
AL;Japaratinga;0,579841;0,524252;0,472494;0,742777
PE;Chã Grande;0,579818;0,302436;0,593061;0,843957
RS;Dom Feliciano;0,579812;0,317154;0,678336;0,743945
PE;Parnamirim;0,579748;0,267071;0,707371;0,764803
MG;Jacinto;0,57973;0,406017;0,725664;0,607511
MG;São João da Ponte;0,579575;0,42096;0,725746;0,592019
BA;Gavião;0,579404;0,452237;0,769137;0,516839
BA;Souto Soares;0,579368;0,379242;0,696381;0,66248
SE;Boquim;0,579177;0,234084;0,69468;0,808766
AL;Água Branca;0,579011;0,415464;0,598266;0,723302
SE;Propriá;0,578939;0,298284;0,709558;0,728975
PA;Bom Jesus do Tocantins;0,578874;0,417658;0,599043;0,71992
AM;Humaitá;0,578834;0,454171;0,655075;0,627254
RO;Vale do Anari;0,578725;0,357917;0,68858;0,689678
PB;Poço Dantas;0,578716;0,389116;0,762364;0,584667
BA;Pedrão;0,578622;0,28375;0,691466;0,76065
RN;Serra de São Bento;0,578603;0,38909;0,683845;0,662875
BA;Conceição do Coité;0,578535;0,441622;0,679159;0,614823
BA;Barra do Mendes;0,57847;0,319973;0,700591;0,714846
PB;São José do Bonfim;0,578303;0,307189;0,681646;0,746073
SE;Porto da Folha;0,578287;0,349509;0,598257;0,787094
BA;Boa Nova;0,578246;0,292847;0,704766;0,737124
PA;São Geraldo do Araguaia;0,578108;0,519891;0,627332;0,587101
BA;Heliópolis;0,577879;0,449563;0,598331;0,685742
MA;Zé Doca;0,577861;0,367314;0,596316;0,769954
AM;Novo Airão;0,577766;0,387672;0,694098;0,651529
SE;Areia Branca;0,577739;0,343051;0,613707;0,776459
BA;Coração de Maria;0,577686;0,435932;0,636258;0,660867
PE;Exu;0,577626;0,302401;0,675967;0,75451
PI;Luís Correia;0,57762;0,426872;0,667858;0,63813
BA;Candiba;0,577496;0,397091;0,658899;0,676499
PB;Itatuba;0,577389;0,484328;0,610443;0,637396
PB;Ingá;0,577293;0,531427;0,624323;0,576129
BA;Elísio Medrado;0,577159;0,315842;0,702562;0,713073
RN;Espírito Santo;0,577136;0,470959;0,509823;0,750626
RN;Felipe Guerra;0,576908;0,267084;0,83369;0,62995
RN;Pilões;0,576859;0,293987;0,673396;0,763194
MG;Galiléia;0,576856;0,335738;0,780023;0,614807
MA;Esperantinópolis;0,576837;0,506125;0,63312;0,591266
PB;Mato Grosso;0,576823;0,453461;0,660113;0,616893
BA;Matina;0,576788;0,329905;0,638346;0,762112
AM;Apuí;0,576746;0,386444;0,700312;0,643483
PB;Gado Bravo;0,576665;0,318954;0,646995;0,764046
RN;Pedra Preta;0,576598;0,315106;0,603287;0,811402
RO;Cacaulândia;0,576415;0,271306;0,69043;0,767507
BA;Mairi;0,576409;0,445223;0,616713;0,667291
TO;Oliveira de Fátima;0,576173;0,380328;0,616521;0,731669
BA;Muniz Ferreira;0,576118;0,363496;0,584658;0,780198
BA;Curaçá;0,575818;0,366065;0,642673;0,718716
MA;Alto Alegre do Maranhão;0,575809;0,449432;0,554588;0,723408
PE;Iati;0,575731;0,438927;0,556891;0,731376
BA;Urandi;0,575714;0,403623;0,680753;0,642765
PB;Curral Velho;0,575696;0,347142;0,614664;0,76528
RO;Nova Brasilândia D'Oeste;0,575692;0,282172;0,776784;0,668119
PA;Dom Eliseu;0,575665;0,453824;0,68262;0,590551
PB;Marcação;0,575646;0,408033;0,457695;0,861209
MT;Bom Jesus do Araguaia;0,575572;0,64496;0,750568;0,331187
PB;Cuité de Mamanguape;0,57556;0,362031;0,568093;0,796555
PI;Brejo do Piauí;0,575397;0,392489;0,540979;0,792723
BA;Cachoeira;0,575233;0,472122;0,605937;0,647641
